member_id||bill_num||congress
C000714||hr134||115
E000179||hr1340||115
G000565||hr1341||115
H001052||hr1342||115
H001059||hr1343||115
K000381||hr1344||115
L000559||hr1345||115
L000563||hr1346||115
L000583||hr1347||115
M001185||hr1348||115
M001177||hr1349||115
C000714||hr135||115
N000127||hr1350||115
P000605||hr1351||115
R000586||hr1352||115
R000602||hr1353||115
R000583||hr1354||115
S001183||hr1355||115
S001175||hr1356||115
S001196||hr1357||115
T000469||hr1358||115
W000813||hr1359||115
C000714||hr136||115
W000816||hr1360||115
Z000017||hr1361||115
R000600||hr1362||115
S001168||hr1363||115
H001071||hr1364||115
C001110||hr1365||115
V000081||hr1366||115
W000815||hr1367||115
B000574||hr1368||115
C001053||hr1369||115
C000714||hr137||115
M001157||hr1370||115
O000170||hr1371||115
P000604||hr1372||115
W000809||hr1373||115
J000288||hr1374||115
C001101||hr1375||115
C000984||hr1376||115
H001045||hr1377||115
H001045||hr1378||115
P000608||hr1379||115
C000714||hr138||115
D000617||hr1380||115
G000568||hr1381||115
W000814||hr1382||115
B001298||hr1383||115
P000601||hr1384||115
F000450||hr1385||115
K000386||hr1386||115
C001076||hr1387||115
O000171||hr1388||115
B001257||hr1389||115
C000714||hr139||115
B001299||hr1390||115
B001299||hr1391||115
B001287||hr1392||115
B001293||hr1393||115
B001284||hr1394||115
B001248||hr1395||115
C001084||hr1396||115
C001105||hr1397||115
C001078||hr1398||115
C001094||hr1399||115
K000362||hr140||115
C001087||hr1400||115
C001107||hr1401||115
G000571||hr1402||115
G000582||hr1403||115
G000551||hr1404||115
G000551||hr1405||115
H000324||hr1406||115
H001048||hr1407||115
I000056||hr1408||115
L000567||hr1409||115
C000714||hr141||115
M001197||hr1410||115
P000034||hr1411||115
R000486||hr1412||115
R000577||hr1413||115
S000344||hr1414||115
S000522||hr1415||115
T000462||hr1416||115
Y000033||hr1417||115
Y000033||hr1418||115
Y000066||hr1419||115
C000714||hr142||115
D000191||hr1420||115
C001069||hr1421||115
R000593||hr1422||115
V000081||hr1423||115
S000244||hr1424||115
H001059||hr1425||115
R000598||hr1426||115
P000606||hr1427||115
H001073||hr1428||115
M001189||hr1429||115
C000714||hr143||115
S000583||hr1430||115
L000491||hr1431||115
B001270||hr1432||115
C001112||hr1433||115
C001093||hr1434||115
G000535||hr1435||115
J000289||hr1436||115
L000582||hr1437||115
L000480||hr1438||115
L000570||hr1439||115
C000714||hr144||115
L000570||hr1440||115
T000463||hr1441||115
L000562||hr1442||115
M001180||hr1443||115
R000592||hr1444||115
C001077||hr1445||115
V000081||hr1446||115
T000477||hr1447||115
H001047||hr1448||115
P000592||hr1449||115
F000466||hr145||115
I000056||hr1450||115
S001145||hr1451||115
B000574||hr1452||115
J000288||hr1453||115
L000573||hr1454||115
B001278||hr1455||115
R000487||hr1456||115
T000470||hr1457||115
B000574||hr1458||115
E000294||hr1459||115
F000459||hr146||115
Y000066||hr1460||115
A000375||hr1461||115
B001302||hr1462||115
B001248||hr1463||115
C001090||hr1464||115
C001091||hr1465||115
C001101||hr1466||115
C001068||hr1467||115
C001107||hr1468||115
D000626||hr1469||115
F000448||hr147||115
G000574||hr1470||115
G000576||hr1471||115
L000559||hr1472||115
L000551||hr1473||115
M000087||hr1474||115
M000087||hr1475||115
M001194||hr1476||115
M001160||hr1477||115
M001202||hr1478||115
N000147||hr1479||115
G000553||hr148||115
P000597||hr1480||115
R000585||hr1481||115
S001148||hr1482||115
S001148||hr1483||115
S001191||hr1484||115
S001196||hr1485||115
T000193||hr1486||115
T000474||hr1487||115
V000108||hr1488||115
Y000033||hr1489||115
G000553||hr149||115
H001048||hr1490||115
L000578||hr1491||115
S000250||hr1492||115
D000612||hr1493||115
S000583||hr1494||115
L000584||hr1495||115
B001270||hr1496||115
C001067||hr1497||115
C000714||hr1498||115
C001069||hr1499||115
S000185||hr15||115
G000553||hr150||115
C001038||hr1500||115
D000619||hr1501||115
K000362||hr1502||115
L000397||hr1503||115
M001185||hr1504||115
O000170||hr1505||115
O000170||hr1506||115
O000170||hr1507||115
O000170||hr1508||115
O000170||hr1509||115
G000553||hr151||115
R000603||hr1510||115
S001187||hr1511||115
M001158||hr1512||115
J000174||hr1513||115
B001245||hr1514||115
D000598||hr1515||115
D000216||hr1516||115
D000610||hr1517||115
K000381||hr1518||115
K000188||hr1519||115
G000553||hr152||115
K000188||hr1520||115
M001137||hr1521||115
M001137||hr1522||115
N000147||hr1523||115
P000034||hr1524||115
S001195||hr1525||115
W000800||hr1526||115
G000535||hr1527||115
T000470||hr1528||115
S000051||hr1529||115
G000553||hr153||115
I000056||hr1530||115
B000574||hr1531||115
B001289||hr1532||115
C001067||hr1533||115
D000624||hr1534||115
E000293||hr1535||115
F000466||hr1536||115
G000580||hr1537||115
G000568||hr1538||115
G000558||hr1539||115
G000553||hr154||115
H001072||hr1540||115
J000290||hr1541||115
J000292||hr1542||115
K000376||hr1543||115
K000378||hr1544||115
K000382||hr1545||115
L000565||hr1546||115
M001197||hr1547||115
O000170||hr1548||115
P000593||hr1549||115
G000410||hr155||115
R000578||hr1550||115
R000597||hr1551||115
R000593||hr1552||115
R000577||hr1553||115
W000798||hr1554||115
W000798||hr1555||115
J000288||hr1556||115
K000387||hr1557||115
R000487||hr1558||115
S000244||hr1559||115
G000410||hr156||115
G000565||hr1560||115
V000081||hr1561||115
P000607||hr1562||115
K000386||hr1563||115
B001301||hr1564||115
B001282||hr1565||115
B001292||hr1566||115
C001063||hr1567||115
D000533||hr1568||115
F000454||hr1569||115
H000324||hr157||115
H000324||hr1570||115
H001056||hr1571||115
H001067||hr1572||115
H001058||hr1573||115
L000570||hr1574||115
M001193||hr1575||115
M001163||hr1576||115
M001197||hr1577||115
P000604||hr1578||115
P000608||hr1579||115
H000324||hr158||115
Q000023||hr1580||115
R000599||hr1581||115
R000604||hr1582||115
S001156||hr1583||115
S001150||hr1584||115
S001183||hr1585||115
S000248||hr1586||115
S000480||hr1587||115
S001175||hr1588||115
T000460||hr1589||115
H000324||hr159||115
T000474||hr1590||115
W000800||hr1591||115
Y000065||hr1592||115
W000816||hr1593||115
C001090||hr1594||115
R000598||hr1595||115
B001289||hr1596||115
B001290||hr1597||115
G000552||hr1598||115
J000174||hr1599||115
H000324||hr160||115
P000592||hr1600||115
S001191||hr1601||115
L000287||hr1602||115
B001270||hr1603||115
B001270||hr1604||115
B001270||hr1605||115
C001103||hr1606||115
D000610||hr1607||115
E000297||hr1608||115
L000559||hr1609||115
H000324||hr161||115
L000580||hr1610||115
M000087||hr1611||115
M000087||hr1612||115
M001180||hr1613||115
P000607||hr1614||115
R000606||hr1615||115
R000601||hr1616||115
R000585||hr1617||115
R000599||hr1618||115
R000599||hr1619||115
H000324||hr162||115
R000599||hr1620||115
R000599||hr1621||115
R000599||hr1622||115
R000604||hr1623||115
M001189||hr1624||115
R000487||hr1625||115
M001157||hr1626||115
B001301||hr1627||115
B001273||hr1628||115
A000370||hr1629||115
H000324||hr163||115
B000574||hr1630||115
C001111||hr1631||115
D000616||hr1632||115
F000460||hr1633||115
G000551||hr1634||115
G000558||hr1635||115
L000560||hr1636||115
M001189||hr1637||115
P000611||hr1638||115
S000364||hr1639||115
H000324||hr164||115
V000081||hr1640||115
W000187||hr1641||115
W000800||hr1642||115
Y000065||hr1643||115
R000487||hr1644||115
S001191||hr1645||115
W000798||hr1646||115
B000574||hr1647||115
C001067||hr1648||115
D000624||hr1649||115
H000324||hr165||115
H001068||hr1650||115
J000126||hr1651||115
K000379||hr1652||115
L000566||hr1653||115
M001177||hr1654||115
M001181||hr1655||115
M001181||hr1656||115
N000127||hr1657||115
N000147||hr1658||115
R000580||hr1659||115
H000324||hr166||115
S001165||hr1660||115
T000462||hr1661||115
W000815||hr1662||115
W000804||hr1663||115
D000191||hr1664||115
D000619||hr1665||115
J000255||hr1666||115
M001179||hr1667||115
H001071||hr1668||115
D000620||hr1669||115
H000324||hr167||115
D000620||hr1670||115
B001269||hr1671||115
C001084||hr1672||115
C000714||hr1673||115
D000216||hr1674||115
D000617||hr1675||115
E000179||hr1676||115
E000179||hr1677||115
F000462||hr1678||115
G000577||hr1679||115
H000324||hr168||115
K000387||hr1680||115
L000560||hr1681||115
L000566||hr1682||115
M001185||hr1683||115
N000002||hr1684||115
O000170||hr1685||115
P000594||hr1686||115
P000611||hr1687||115
S001156||hr1688||115
S000244||hr1689||115
H001068||hr169||115
T000478||hr1690||115
T000460||hr1691||115
T000474||hr1692||115
C001067||hr1693||115
C001076||hr1694||115
G000289||hr1695||115
R000578||hr1696||115
R000580||hr1697||115
R000487||hr1698||115
B001282||hr1699||115
I000056||hr170||115
A000370||hr1700||115
C001090||hr1701||115
E000296||hr1702||115
G000568||hr1703||115
H001067||hr1704||115
K000381||hr1705||115
L000397||hr1706||115
L000397||hr1707||115
M000087||hr1708||115
P000610||hr1709||115
J000255||hr171||115
P000598||hr1710||115
Q000023||hr1711||115
R000591||hr1712||115
R000604||hr1713||115
S000248||hr1714||115
T000193||hr1715||115
V000081||hr1716||115
W000800||hr1717||115
B001274||hr1718||115
D000623||hr1719||115
J000255||hr172||115
K000210||hr1720||115
R000603||hr1721||115
S001189||hr1722||115
T000472||hr1723||115
T000472||hr1724||115
W000799||hr1725||115
H001048||hr1726||115
B000574||hr1727||115
S001148||hr1728||115
B001290||hr1729||115
K000376||hr173||115
K000392||hr1730||115
R000395||hr1731||115
D000604||hr1732||115
B001284||hr1733||115
Y000066||hr1734||115
B001291||hr1735||115
B001275||hr1736||115
C001087||hr1737||115
G000559||hr1738||115
L000551||hr1739||115
K000362||hr174||115
L000580||hr1740||115
M001197||hr1741||115
M001189||hr1742||115
O000170||hr1743||115
S000522||hr1744||115
S000510||hr1745||115
J000288||hr1746||115
P000034||hr1747||115
S000185||hr1748||115
B001257||hr1749||115
K000362||hr175||115
Y000066||hr1750||115
M001195||hr1751||115
